SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532404,SAVEN TECHNO,X ,Q,23.95,23.95,22.55,22.85,23.00,23.60,34,11126,256230.00,
532406,AVANTEL LTD ,X ,Q,480.10,490.00,474.80,478.20,475.00,499.75,277,10105,4849252.00,
532407,MOSCHIP SEMI,X ,Q,41.00,41.75,39.20,40.40,40.40,40.80,470,224593,9136811.00,
532408,MEGASOFT LTD,T ,Q,15.48,15.48,14.80,15.40,15.40,15.13,45,12881,195045.00,
532410,TRANSCORP IN,XT,Q,44.55,44.55,41.05,42.00,42.00,42.45,33,10024,426455.00,
532411,VISESH INFO.,T ,Q,0.20,0.20,0.20,0.20,0.20,0.19,14,161020,32204.00,
532413,CEREBRA INTE,B ,Q,57.00,59.00,54.60,56.15,56.15,56.25,1321,246595,13888281.00,
532416,MID-DAY MULT,T ,Q,20.00,20.00,19.00,19.00,19.00,19.50,12,4750,91920.00,
532418,ANDHRA BANK ,A ,Q,55.65,56.70,55.40,56.40,56.40,55.70,467,124549,6991759.00,
532419,SMARTLINK   ,B ,Q,116.70,118.50,114.05,116.80,117.00,116.40,135,5493,639991.00,
532424,GODREJ CONS ,A ,Q,1036.00,1052.00,1033.00,1048.70,1051.00,1032.00,3362,64552,67509547.00,
532430,BF UTILI    ,A ,Q,514.80,527.00,503.75,510.65,510.65,510.70,5230,201868,103868945.00,
532432,UNITD SPR   ,B ,Q,3695.00,3728.60,3635.45,3717.45,3717.45,3684.45,1792,22575,83364500.00,
532439,GOLDST INFRA,B ,Q,213.80,221.85,212.30,215.55,215.55,213.55,372,15834,3426434.00,
532440,MPS LTD     ,B ,Q,644.00,654.40,630.00,651.55,653.55,643.00,70,1530,989835.00,
532441,RNBOWDENIM  ,XT,Q,9.91,9.91,9.91,9.91,9.91,9.50,2,400,3964.00,
532443,CERA SANITAR,B ,Q,3585.00,3678.10,3585.00,3638.00,3635.35,3620.85,47,6169,22443863.00,
532454,BHARTI ARTL ,A ,Q,487.25,500.10,485.00,497.75,497.75,494.50,6974,787117,387564947.00,
532455,SHALIMAR WIR,XT,Q,19.65,20.65,19.00,19.10,19.40,20.00,42,6137,121508.00,
532456,COMPUAGE INF,B ,Q,53.25,54.40,50.65,53.00,53.00,52.45,359,62034,3247175.00,
532457,GULSHAN POLY,B ,Q,87.55,90.00,86.10,87.50,87.35,85.60,370,22952,2006482.00,
532459,AUNDE IND   ,XT,Q,66.20,70.00,66.20,69.95,70.00,66.70,9,3208,223807.00,
532460,PONNI SUG(ER,B ,Q,180.00,180.10,174.00,180.00,180.00,180.00,18,875,156725.00,
532461,PUNJAB NATIO,A ,Q,170.20,177.75,169.45,176.45,176.45,170.60,7216,1669332,291665020.00,
532466,ORACLE FIN  ,A ,Q,4003.00,4149.95,3986.85,4072.40,4125.00,4022.35,135,753,3054695.00,
532467,HAZ MUL PRO ,XT,Q,1.01,1.01,1.01,1.01,1.01,1.03,3,1120,1131.00,
532468,KAMAHOLDING ,B ,Q,3850.00,4270.00,3830.00,4044.25,4044.25,3867.40,89,618,2476554.00,
532475,APTECH LTD  ,B ,Q,349.00,354.80,341.25,346.80,346.80,352.55,1689,98747,34241535.00,
532477,UNION BANK L,A ,Q,136.50,141.65,136.50,141.20,141.20,137.85,1673,315266,44230181.00,
532478,UNITED BREWA,A ,Q,1083.10,1107.00,1071.80,1096.25,1100.00,1081.85,644,14407,15699257.00,
532479,ISMT LTD    ,T ,Q,17.05,17.50,16.65,16.85,16.70,17.40,103,47219,800724.00,
532480,ALLAHABAD BK,A ,Q,71.00,71.45,69.55,70.80,70.80,69.85,725,214526,15123264.00,
532481,NOIDA-TOLL B,B ,Q,12.02,12.59,12.02,12.43,12.35,12.29,57,31930,393096.00,
532482,GRANULES (I),A ,Q,136.50,137.45,133.60,135.90,135.90,136.05,1116,130705,17726843.00,
532483,CANARA BANK ,A ,Q,350.00,364.00,346.95,361.75,361.75,348.45,2148,240508,85828129.00,
532485,BALMER LA.IN,X ,Q,463.00,463.00,453.00,456.65,457.50,463.65,88,3734,1700451.00,
532486,POKARNA LTD ,B ,Q,227.05,231.70,227.05,229.40,231.00,227.00,266,5354,1229092.00,
532488,DIVI'S LAB. ,A ,Q,1076.05,1102.00,1076.05,1095.50,1092.50,1086.90,729,16903,18496673.00,
532493,ASTRA MICRO ,A ,Q,116.00,117.80,115.35,116.20,116.20,115.80,487,58527,6800329.00,
532497,RADICOKHAIT ,A ,Q,343.55,368.60,338.00,364.65,364.65,340.90,9282,816844,292404196.00,
532498,SHRMCITYUN  ,A ,Q,2041.25,2056.40,2003.00,2040.85,2039.00,2069.60,108,538,1098495.00,
532500,MARUTISUZUK ,A ,Q,9340.00,9395.45,9255.05,9321.35,9321.35,9359.00,4585,105772,981852497.00,
532503,RAJAPAMILLS ,X ,Q,1335.00,1387.90,1330.00,1349.70,1375.00,1358.20,53,753,1017457.00,
532504,NAVIN FLUORI,A ,Q,790.05,803.45,783.00,792.00,797.00,790.65,503,6491,5153330.00,
532505,UCOBANK     ,A ,Q,31.00,31.45,30.65,31.05,31.05,31.05,433,74240,2302857.00,
532507,BAG FIL MED ,T ,Q,6.42,6.74,6.32,6.39,6.70,6.65,167,57790,373543.00,
532508,JSL         ,B ,Q,115.00,117.05,113.00,113.80,113.80,114.10,934,83526,9627710.00,
532509,SUPRAJIT ENG,B ,Q,295.25,314.70,294.00,307.05,305.00,295.40,166,5092,1524871.00,
532511,EXCEL CROP. ,B ,Q,3350.00,3456.85,3301.00,3410.45,3410.45,3270.70,1756,8986,30499676.00,
532513,TVSELE      ,T ,Q,392.75,411.00,392.75,400.40,401.00,404.85,183,6058,2420895.00,
532514,INDRA GAS   ,A ,Q,307.70,313.00,301.80,311.65,311.65,305.50,1844,498419,152262089.00,
532515,TV TODAY    ,B ,Q,451.30,463.30,450.10,453.05,450.20,450.90,777,22655,10360476.00,
